module_code,xbrl_schema_ref,from_date,to_date,version
COREP_LCR_DA_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_lcr_da_con.json,31-Dec-18,29-Apr-20,2.3.2
COREP_LCR_DA_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_lcr_da_ind.json,31-Dec-18,29-Apr-20,2.3.2
COREP_LCR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_lcr_ind.json,31-Dec-18,29-Apr-20,2.3.2
COREP_LE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_le_con.json,31-Dec-18,30-Mar-20,2.3.2
COREP_LE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_le_ind.json,31-Dec-18,30-Mar-20,2.3.2
COREP_LR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_lr_con.json,31-Dec-18,30-Mar-20,2.3.2
COREP_LR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_lr_ind.json,31-Dec-18,30-Mar-20,2.3.2
COREP_NSFR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_nsfr_con.json,31-Dec-18,29-Apr-20,2.3.2
COREP_NSFR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_nsfr_ind.json,31-Dec-18,29-Apr-20,2.3.2
COREP_OF_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_of_con.json,31-Dec-18,30-Mar-20,2.3.2
COREP_OF_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2018-07-31/mod/corep_of_ind.json,31-Dec-18,30-Mar-20,2.3.2
COREP_ALM_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_alm_con.json,30-Apr-20,30-Apr-20,2.4.0
COREP_ALM_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_alm_ind.json,30-Apr-20,30-Apr-20,2.4.0
COREP_LCR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_lcr_con.json,30-Apr-20,30-Apr-20,2.4.0
COREP_LCR_DA_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_lcr_da_con.json,30-Apr-20,30-Apr-20,2.4.0
COREP_LCR_DA_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_lcr_da_ind.json,30-Apr-20,30-Apr-20,2.4.0
COREP_LCR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_lcr_ind.json,30-Apr-20,30-Apr-20,2.4.0
COREP_LE_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_le_con.json,31-Mar-20,31-Mar-20,2.4.0
COREP_LE_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_le_ind.json,31-Mar-20,31-Mar-20,2.4.0
COREP_LR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_lr_con.json,31-Mar-20,31-Mar-20,2.4.0
COREP_LR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_lr_ind.json,31-Mar-20,31-Mar-20,2.4.0
COREP_NSFR_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_nsfr_con.json,30-Apr-20,30-Apr-20,2.4.0
COREP_NSFR_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_nsfr_ind.json,30-Apr-20,30-Apr-20,2.4.0
COREP_OF_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_of_con.json,31-Mar-20,31-Mar-20,2.4.0
COREP_OF_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/corep/cir-680-2014/2019-04-30/mod/corep_of_ind.json,31-Mar-20,31-Mar-20,2.4.0
RESOL_Con,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/res/cir-2018-1624/2019-04-30/mod/resol_con.json,31-Dec-19,30-Dec-20,1.1.0
RESOL_Ind,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/res/cir-2018-1624/2019-04-30/mod/resol_ind.json,31-Dec-19,30-Dec-20,1.1.0
FINREP9_Con_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014/2019-08-31/mod/finrep9_con_gaap.json,30-Jun-20,30-Jun-20,2.3.0
FINREP9_Con_IFRS,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014/2019-08-31/mod/finrep9_con_ifrs.json,30-Jun-20,30-Jun-20,2.3.0
FINREP9_Ind_GAAP,http://www.eba.europa.eu/eu/fr/xbrl/crr/fws/finrep/cir-680-2014-ind/2019-08-31/mod/finrep9_ind_gaap.json,30-Jun-20,30-Jun-20,2.3.0
